song_title,artist,city,weather_main,temperature,ingested_at,lyrics_preview,row_num,song_mood,weather_mood
Pink Pony Club,Chappell Roan,Chicago,Clouds,46.06,2025-05-19 03:13:12.409551 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",1,,
No One Noticed,The Marías,Chicago,Clouds,46.06,2025-05-19 03:12:17.832608 UTC,"Maybe I
Lost my mind
No one noticed",1,,
Cruel Summer,Taylor Swift,Chicago,Clouds,74.64,2025-05-13 18:42:31.147734 UTC,,1,,
Judas,Lady Gaga,Chicago,Clouds,46.06,2025-05-19 03:12:45.101717 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",1,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,52.5,2025-05-19 03:13:01.777551 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",1,,
Party 4 U,Charli XCX,Denver,Clouds,52.5,2025-05-19 03:12:28.622697 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",1,,
Abracadabra,Lady Gaga,Miami,Clouds,80.29,2025-05-19 03:12:16.25509 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",1,,
Paint the Town Red,Doja Cat,Miami,Clouds,84.74,2025-05-13 18:42:30.898378 UTC,,1,,
Wildflower,Billie Eilish,Miami,Clouds,80.29,2025-05-19 03:13:10.669379 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",1,,
Poker Face,Lady Gaga,Miami,Clouds,80.29,2025-05-19 03:12:42.704528 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",1,,
Die With A Smile,Lady Gaga,New York,Clouds,65.23,2025-05-19 03:12:33.663274 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",1,,
Bad Romance,Lady Gaga,New York,Clouds,65.23,2025-05-19 03:13:06.052103 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",1,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,65.23,2025-05-19 03:12:12.501752 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",1,,
Lovers Rock,TV Girl,Seattle,Clouds,56.41,2025-05-19 03:13:14.741658 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",1,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,56.41,2025-05-19 03:12:19.822272 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",1,,
505,Arctic Monkeys,Seattle,Clouds,56.41,2025-05-19 03:12:49.404878 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",1,,
Love Me Again,V,College Park,Rain,66.11,2025-05-13 18:42:30.422748 UTC,,1,,
As It Was,Harry Styles,New York,Rain,67.37,2025-05-13 18:42:30.333817 UTC,,1,,
Cruel Summer,Taylor Swift,New York,Rain,59,2025-05-13 23:18:46.382707 UTC,,1,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 03:31:39.977499 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 03:31:40.173015 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 03:31:40.198792 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 03:31:40.636882 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 03:31:40.670933 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 03:31:40.676615 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,65.41,2025-05-19 03:31:41.301155 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,61.61,2025-05-19 03:31:41.459193 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 03:31:42.838337 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,80.29,2025-05-19 03:31:42.869603 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 03:31:42.875633 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 03:31:42.888286 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 03:31:44.60801 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 03:31:44.640145 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,46.11,2025-05-19 03:31:44.625315 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 03:31:44.646504 UTC,"Maybe I
Lost my mind
No one noticed",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 03:31:46.748064 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,55.47,2025-05-19 03:31:46.772554 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 03:31:46.79456 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 03:31:46.783871 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
luther (with SZA),Kendrick Lamar,Austin,Clear,,2025-05-19 03:31:47.125807 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clear,80.35,2025-05-19 03:31:47.147992 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clear,,2025-05-19 03:31:47.162809 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clear,,2025-05-19 03:31:47.166734 UTC,Lyrics preview unavailable.,,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 03:31:48.789517 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 03:31:48.830634 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,71.26,2025-05-19 03:31:48.827119 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 03:31:48.895311 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 03:31:51.872972 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,60.04,2025-05-19 03:31:51.898483 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 03:31:51.909909 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 03:31:51.906516 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 03:31:53.721583 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 03:31:53.751833 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,53.08,2025-05-19 03:31:53.757343 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 03:31:53.771006 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 03:31:56.424273 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 03:31:56.445544 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 03:31:56.461305 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,60.98,2025-05-19 03:31:56.442184 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 03:31:59.017474 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 03:31:59.052025 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 03:31:59.073962 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,65.21,2025-05-19 03:31:59.100833 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 03:32:00.588629 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,61.61,2025-05-19 03:32:00.610917 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 03:32:00.624245 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 03:32:00.69252 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 03:32:04.840531 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 03:32:04.859355 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,80.29,2025-05-19 03:32:04.858107 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 03:32:04.919708 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 03:32:07.101623 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,46.11,2025-05-19 03:32:07.120667 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 03:32:07.124521 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 03:32:07.133972 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 03:32:09.629693 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,55.47,2025-05-19 03:32:09.625317 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 03:32:09.63274 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 03:32:09.611504 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
tAsTe,Sabrina Carpenter,Austin,Clear,,2025-05-19 03:32:12.992171 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clear,,2025-05-19 03:32:13.013894 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clear,,2025-05-19 03:32:13.014246 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clear,80.35,2025-05-19 03:32:13.009482 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 03:32:19.555124 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 03:32:19.573386 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 03:32:19.585047 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,71.26,2025-05-19 03:32:19.572426 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Pink + White,Frank Ocean,San Francisco,Clear,60.04,2025-05-19 03:32:21.214025 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 03:32:21.201132 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 03:32:21.215354 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 03:32:21.222544 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 03:32:23.408798 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 03:32:23.423572 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 03:32:23.429706 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,53.08,2025-05-19 03:32:23.457392 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 03:32:23.813848 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,60.98,2025-05-19 03:32:23.817889 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 03:32:23.859707 UTC,Lyrics preview unavailable.,,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 03:32:27.933111 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,65.21,2025-05-19 03:32:27.947358 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 03:32:27.95186 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 03:32:27.965151 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 03:32:29.89308 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 03:32:29.91324 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 03:32:29.91683 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,61.61,2025-05-19 03:32:29.910818 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 03:32:32.045423 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 03:32:32.068437 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 03:32:32.063728 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,80.42,2025-05-19 03:32:32.062083 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,46.11,2025-05-19 03:32:33.796395 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 03:32:33.766633 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 03:32:33.783798 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 03:32:33.786652 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 03:32:35.646304 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 03:32:35.661715 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,55.47,2025-05-19 03:32:35.661344 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 03:32:35.71758 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 03:32:38.292295 UTC,Lyrics preview unavailable.,,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 03:35:46.336414 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 03:35:46.337407 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,65.21,2025-05-19 03:35:46.400878 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 03:35:46.320802 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,61.61,2025-05-19 03:35:49.836917 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 03:35:49.806879 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 03:35:49.825302 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 03:35:49.821477 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 03:35:51.795354 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 03:35:51.819964 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,80.42,2025-05-19 03:35:51.813729 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 03:35:51.825549 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 03:35:53.51361 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,46.11,2025-05-19 03:35:53.523527 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 03:35:53.543514 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 03:35:53.536966 UTC,"Maybe I
Lost my mind
No one noticed",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 03:35:56.686196 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,53.91,2025-05-19 03:35:56.703924 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 03:35:56.712887 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 03:35:56.71942 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
luther (with SZA),Kendrick Lamar,Austin,Clear,,2025-05-19 03:35:57.671146 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clear,,2025-05-19 03:35:57.69088 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clear,80.35,2025-05-19 03:35:57.699632 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clear,,2025-05-19 03:35:58.09596 UTC,Lyrics preview unavailable.,,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 03:35:58.882026 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 03:35:58.906954 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 03:35:58.901207 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,71.15,2025-05-19 03:35:58.896984 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 03:36:01.347161 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 03:36:01.369998 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 03:36:01.372374 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
